rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
16,2003454,Eagle Mine,MI,Active,Underground,"Eagle Mine, LLC.",Nickel Ore,170.0,595000.0,3500,high,-87.879444,46.743056,copper,exact_sic,Major copper mining operations
17,200112,Freeport McMoRan Miami Inc ,AZ,Active,Surface,Freeport McMoRan Miami Inc,Copper Ore NEC,150.0,525000.0,3500,high,-110.8525,33.409722,copper,exact_sic,Major copper mining operations
18,2300499,Brushy Creek Mine/Mill,MO,Active,Underground,The Doe Run Company,Lead-Zinc Ore,139.0,486500.0,3500,high,-91.110833,37.4925,copper,exact_sic,Major copper mining operations
19,200843,Mineral Park ,AZ,Active,Surface,"Origin Mining Company, LLC.",Copper Ore NEC,138.0,483000.0,3500,high,-114.178611,35.335,copper,exact_sic,Major copper mining operations
20,200826,Hayden Concentrator,AZ,Active,Surface,Asarco LLC,Copper Ore NEC,135.0,472500.0,3500,high,-110.784444,33.007222,copper,exact_sic,Major copper mining operations
21,2301800,Viburnum #35 (Casteel Mine),MO,Active,Underground, Doe Run Co,Lead-Zinc Ore,98.0,343000.0,3500,high,-91.1225,37.656389,copper,exact_sic,Major copper mining operations
22,202653,Carlota Copper Company,AZ,Active,Surface,Carlota Copper Company,Copper Ore NEC,63.0,220500.0,3500,high,-110.868611,33.399167,copper,exact_sic,Major copper mining operations
23,4202406,Lisbon Valley Mining Co,UT,Active,Surface,Lisbon Valley Mining Co LLC,Copper Ore NEC,60.0,210000.0,3500,high,-109.117778,37.995,copper,exact_sic,Major copper mining operations
24,202824,Gunnison & Johnson Camp Mines ,AZ,Active,Surface, Gunnison Copper Corp.,Copper Ore NEC,42.0,147000.0,3500,high,-109.648333,31.880278,copper,exact_sic,Major copper mining operations
25,4201392,Kennecott Keystone Underground,UT,Active,Underground,Kennecott Utah Copper LLC,Copper Ore NEC,31.0,108500.0,3500,high,-112.100278,40.564722,copper,exact_sic,Major copper mining operations
26,202579,Cyprus Tohono Corporation,AZ,Active,Surface,Cyprus Tohono Corp,Copper Ore NEC,16.0,56000.0,3500,high,-111.888889,32.514444,copper,exact_sic,Major copper mining operations
27,2103658,Northmet,MN,Active,Surface,"NewRange Copper Nickel, LLC",Copper Ore NEC,13.0,45500.0,3500,high,-92.121389,47.527778,copper,exact_sic,Major copper mining operations
28,201656,Copper Queen Branch,AZ,Active,Surface,Freeport McMoRan Corporation,Copper Ore NEC,10.0,35000.0,3500,high,-109.894167,31.424444,copper,exact_sic,Major copper mining operations
29,2300495,Viburnum #29 Mine,MO,Active,Underground,Doe Run Resources Corp dba Doe Run Company,Lead-Zinc Ore,7.0,24500.0,3500,high,-91.076667,37.755,copper,exact_sic,Major copper mining operations
30,2401467,Troy Mine ,MT,Active,Underground,Troy Mine Inc.,Copper Ore NEC,3.0,10500.0,3500,high,-115.889722,48.463333,copper,exact_sic,Major copper mining operations
31,4202431,OK and Hidden Treasure,UT,Active,Surface,"Milford Mining Company Utah, LLC",Copper Ore NEC,2.0,7000.0,3500,high,-113.014722,38.387778,copper,exact_sic,Major copper mining operations
