rank,mine_id,mine_name,state,status,mine_type,operator,primary_sic,employees,estimated_annual_production_mt,production_factor_mt_per_employee,confidence_level,longitude,latitude,metal,verification_method,verification_notes
40,4105426,Alpine Silica-San Antonio ,TX,Active,Surface,"Alpine Silica, LLC","Sand, Industrial NEC",25.0,112500.0,4500,medium,-98.454167,29.185833,silicon,controlled_keyword,High-purity silica and silicon production
41,1601608,Sunny Point,LA,Active,Surface,"Alpine Silica, LLC","Sand, Common",24.0,108000.0,4500,medium,-93.705833,32.4225,silicon,controlled_keyword,High-purity silica and silicon production
42,3301944,Thompson Mine,OH,Active,Surface,Great Sand LLC,Ground Silica,23.0,103500.0,4500,medium,-81.042778,41.677778,silicon,controlled_keyword,High-purity silica and silicon production
43,3400377,Mill Creek Plant #37,OK,Active,Surface,"U.S. Silica Company, LLC","Sand, Industrial NEC",22.0,99000.0,4500,medium,-96.804167,34.390278,silicon,controlled_keyword,High-purity silica and silicon production
44,4105655,Alpine Silica-Lamesa,TX,Active,Surface,"Alpine Silica, LLC","Sand, Industrial NEC",20.0,90000.0,4500,medium,-102.153889,32.828889,silicon,controlled_keyword,High-purity silica and silicon production
45,302050,East Cave City Quarry,AR,Active,Surface,"American Silica, LLC","Sand, Industrial NEC",20.0,90000.0,4500,medium,-91.436667,35.915,silicon,controlled_keyword,High-purity silica and silicon production
46,4101126,Superior Silica Sands San Antonio Plant,TX,Active,Surface,Superior Silica Sands LLC,"Sand, Industrial NEC",19.0,85500.0,4500,medium,-98.498611,29.243056,silicon,controlled_keyword,High-purity silica and silicon production
47,4002937,Jackson Plant ,TN,Active,Facility,"U.S.Silica Company, LLC","Sand, Industrial NEC",17.0,76500.0,4500,medium,-88.886389,35.598333,silicon,controlled_keyword,High-purity silica and silicon production
48,1600489,Dubberly Plant ,LA,Active,Surface,U.S. Silica Energy Company,Construction Sand and Gravel,15.0,67500.0,4500,medium,-93.2425,32.536944,silicon,controlled_keyword,High-purity silica and silicon production
49,4105415,Poteet Plant,TX,Active,Surface,Carousel Energy Services,Ground Silica,15.0,67500.0,4500,medium,-98.593333,29.115278,silicon,controlled_keyword,High-purity silica and silicon production
50,3503237,Celatom Mine,OR,Active,Surface,"U.S. Silica Company, LLC",Diatomaceous Earth (Diatomite),13.0,58500.0,4500,medium,-117.977778,43.773889,silicon,controlled_keyword,High-purity silica and silicon production
51,2000608,Rockwood Plant,MI,Active,Surface,U S Silica Company,"Sand, Industrial NEC",12.0,54000.0,4500,medium,-83.234722,42.070833,silicon,controlled_keyword,High-purity silica and silicon production
52,800395,Lake Wales Dry Plant,FL,Active,Surface,Standard Sand & Silica Company,Construction Sand and Gravel,11.0,49500.0,4500,medium,-81.506111,27.901389,silicon,controlled_keyword,High-purity silica and silicon production
53,4102319,Espey Pit and Plant,TX,Active,Surface,Espey Silica Sand Company,Construction Sand and Gravel,11.0,49500.0,4500,medium,-98.479444,29.142222,silicon,controlled_keyword,High-purity silica and silicon production
54,405131,S.R.I. MARYSVILLE,CA,Active,Surface,Silica Resources Inc,Construction Sand and Gravel,10.0,45000.0,4500,medium,-121.454444,39.174167,silicon,controlled_keyword,High-purity silica and silicon production
55,3100117,Wiseman Sullins/Chalk,NC,Active,Surface,The Quartz Corp USA,Feldspar,10.0,45000.0,4500,medium,-82.073889,35.935556,silicon,controlled_keyword,High-purity silica and silicon production
56,4101349,Palo Alto Sand Inc.,TX,Active,Surface,Palo Alto Silica Sand Inc,Construction Sand and Gravel,9.0,40500.0,4500,medium,-98.5825,29.175,silicon,controlled_keyword,High-purity silica and silicon production
57,100617,Hurtsboro Plant,AL,Active,Surface,"U.S. Silica Company, LLC",Construction Sand and Gravel,9.0,40500.0,4500,medium,-85.41665,32.24785,silicon,controlled_keyword,High-purity silica and silicon production
58,3800768,Marlboro Mine,SC,Active,Surface,"Ferroglobe USA Quartz, Inc.","Quartz, Crystal",9.0,40500.0,4500,medium,-79.8321,34.7307,silicon,controlled_keyword,High-purity silica and silicon production
59,1600543,Merryville,LA,Active,Surface,"Alpine Silica, LLC",Construction Sand and Gravel,9.0,40500.0,4500,medium,-93.481111,30.849444,silicon,controlled_keyword,High-purity silica and silicon production
60,3600270,WHITE ROCK SILICA SAND COMPANY INC.,PA,Active,Surface,White Rock Silica Sand Company Inc,"Crushed, Broken Sandstone",8.0,36000.0,4500,medium,-80.357778,41.380278,silicon,controlled_keyword,High-purity silica and silicon production
61,2200460,Fowlkes Mine,MS,Active,Surface,"U.S. Silica Company, LLC",Bentonite,8.0,36000.0,4500,medium,-88.532777,33.738888,silicon,controlled_keyword,High-purity silica and silicon production
62,4105470,"North American Silica Sand, LLC",TX,Active,Facility,"North American Silica Sand, LLC","Sand, Industrial NEC",8.0,36000.0,4500,medium,-98.537778,29.201111,silicon,controlled_keyword,High-purity silica and silicon production
63,202503,Crusher 1,AZ,Active,Surface,Kessen & Kessen Inc,Ground Silica,7.0,31500.0,4500,medium,-110.865833,33.4125,silicon,controlled_keyword,High-purity silica and silicon production
64,405403,STRINGER PIT,CA,Active,Surface,"Silica Resources, Inc.",Construction Sand and Gravel,7.0,31500.0,4500,medium,-121.375833,39.222778,silicon,controlled_keyword,High-purity silica and silicon production
65,4104817,Erna Sands LLC,TX,Active,Surface,Erna Sands LLC,Ground Silica,6.0,27000.0,4500,medium,-99.479167,30.751389,silicon,controlled_keyword,High-purity silica and silicon production
66,800307,SILICA PLANT,FL,Active,Surface,Standard Sand & Silica Company,Construction Sand and Gravel,6.0,27000.0,4500,medium,-81.5925,28.186667,silicon,controlled_keyword,High-purity silica and silicon production
67,4105698,West Point Plant #1,TX,Active,Surface,West Point Silica LLC,Construction Sand and Gravel,6.0,27000.0,4500,medium,-101.411667,32.294444,silicon,controlled_keyword,High-purity silica and silicon production
68,900815,IVEY SAND PLANT,GA,Active,Surface,Standard Sand & Silica Company,Construction Sand and Gravel,5.0,22500.0,4500,medium,-83.290833,32.907222,silicon,controlled_keyword,High-purity silica and silicon production
69,103517,Meadows,AL,Active,Surface,Ferroglobe USA Quartz INC,Construction Sand and Gravel,5.0,22500.0,4500,medium,-86.627616,32.330989,silicon,controlled_keyword,High-purity silica and silicon production
70,3101955,KT Mica,NC,Active,Facility,The Quartz Corp USA,Mica,5.0,22500.0,4500,medium,-82.061667,35.906389,silicon,controlled_keyword,High-purity silica and silicon production
71,404263,Riverside Operation,CA,Active,Facility,"Riverside Milling Company, LLC",Ground Silica,4.0,18000.0,4500,medium,-117.396111,34.016944,silicon,controlled_keyword,High-purity silica and silicon production
72,800408,FLINT PLANT,FL,Active,Facility,"Standard Sand & Silica, Co.",Construction Sand and Gravel,3.0,13500.0,4500,medium,-81.586389,28.196944,silicon,controlled_keyword,High-purity silica and silicon production
73,3302551,DOCK #1 WHISKEY ISLAND,OH,Active,Facility,CSI Sands NE LTD.,Ground Silica,3.0,13500.0,4500,medium,-81.716111,41.492778,silicon,controlled_keyword,High-purity silica and silicon production
74,3304427,Ohio Sand Solutions,OH,Active,Surface,Ohio Sand Solutions,Ground Silica,3.0,13500.0,4500,medium,-82.796667,39.106111,silicon,controlled_keyword,High-purity silica and silicon production
75,2800510,Port Elizabeth Plant,NJ,Active,Surface,"U.S. Silica Company, LLC",Construction Sand and Gravel,2.0,9000.0,4500,medium,-74.964722,39.332222,silicon,controlled_keyword,High-purity silica and silicon production
76,4105725,West Point Plant #2,TX,Active,Surface,"West Point Silica, LLC","Sand, Common",2.0,9000.0,4500,medium,-101.411667,32.294444,silicon,controlled_keyword,High-purity silica and silicon production
77,4703644,"Sparta, WI Plant",WI,Active,Surface,U.S.Silica Energy Company,"Sand, Industrial NEC",2.0,9000.0,4500,medium,-90.853056,43.92,silicon,controlled_keyword,High-purity silica and silicon production
