Metal,Supply Percentage of Domestic Demand in 2030,"Net decrease in U.S. GDP ($M, from USGS 2025-1047)",Current Production (tons),Demand 2030 (tons),Supply 2030 (tons),Bottleneck Explainer,Key Discovery Technologies,Key Extraction Technologies,Key Separation Technologies,Key Purification & Refinement Technologies,Key Remediation Technologies,Bottleneck,MCS 2025 Links
Tungsten,50%,539,"3,000.0","20,000.0","10,000.0","The U.S. has no active tungsten mines (last closed in the 1990s), so it relies on imports for ~50% of needs (the rest comes from recycling or stockpiles). China is the world’s top tungsten producer. The absence of domestic mine supply makes tungsten a critical bottleneck for U.S. industry.  ",UV-fluorescence mapping; aerial radiometric surveys; geochemical sampling; hyperspectral imaging,open-pit/underground mining; drill-and-blast; crushing to <5mm; SAG/ball milling,dense-media separation; gravity tables/jigs; magnetic separation; froth flotation,alkaline digestion to APT; hydrogen reduction to metal; carbothermic reduction to ferrotungsten,tailings reprocessing; hydrometallurgical extraction; water treatment; phytostabilization,APT/powder plants; hydrogen reduction furnaces; ferrotungsten smelters,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-tungsten.pdf
Magnesium,67%,481,"63,500.0","300,000.0","200,000.0","Only one U.S. producer (Utah) supplies magnesium metal, covering ~50% of domestic needs; the rest is imported. U.S. smelters struggle with high energy costs and environmental regulations. Over 50% of global Mg comes from China, making cost-competitive domestic expansion difficult (a supply bottleneck).  ",Geochemical mapping; hyperspectral imaging; gravity surveys; brine analysis; waste assessment,Pidgeon thermal reduction; electrolysis; aluminothermic; novel molten salt methods,Vapor condensation; vacuum separation; slag removal; crystallization; centrifugation,Vacuum distillation; flux refining; zone refining; sublimation; electrolytic polishing,pH neutralization; slag recycling; gas scrubbing; dust control; brine management,Low-carbon primary reduction; renewable electrolysis; energy-intensive processing,
Hafnium,94%,480,35.0,85.0,80.0,"Hafnium is only produced as a byproduct of zirconium refining, which itself is limited. U.S. hafnium output depends on domestic zircon processing (small) and imports. Any decline in zirconium production directly tightens Hf supply. Lack of primary Hf sources is the bottleneck.  ",radiometric surveys; geochemical sampling; heavy-mineral mapping; exploration drilling,open-pit/dredge mining; spiral concentrators; magnetic separation; wet concentration,solvent extraction; chloride distillation; molten salt electrolysis,Kroll reduction; vacuum arc melting; electron beam melting; zone refining,monazite/thorium management; tailings dry stacking; dust suppression; water treatment,Zr-Hf chemical separation; limited feedstock access; regulatory barriers,
Thulium,20%,452,5.0,150.0,30.0,"Thulium is one of the rarest rare earths, produced only in minute quantities in China. With no U.S. production, all Tm must be imported (if available at all). The incredibly low supply (and sole Chinese source) make Tm supply essentially bottlenecked by its rarity and China's output.  ",Airborne radiometrics; XRF geochemistry; carbonatite mapping; ion-adsorption clay detection,Gravity/magnetic separation; sulfuric acid leaching; solvent extraction; ion exchange,Multi-stage solvent extraction; supported liquid membranes; chromatography; fractional crystallization,Metallothermic reduction; vacuum distillation; zone refining; electrolytic refining,Tailings reprocessing; acid neutralization; radioactive element removal; water treatment,Multi-stage solvent extraction for heavy REE separation; hydrometallurgical processing infrastructure,
Silver,68%,435,"2,200.0","11,000.0","7,500.0",Domestic mines supply <20%; majority from imports despite recycling. https://pubs.usgs.gov/periodicals/mcs2024/mcs2024-silver.pdf,Geochemical sampling; airborne geophysics; hyperspectral imaging; machine learning targeting,Flotation concentration; cyanide leaching; pressure oxidation; bioleaching,Merrill-Crowe precipitation; electrowinning; ion exchange; solvent extraction,Electrolytic refining; Miller process; vacuum distillation; zone refining,Lime neutralization; sulfide precipitation; membrane filtration; phytoremediation,Low-grade byproduct recovery; lack of primary silver deposits,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-silver.pdf
Cobalt,38%,395,"8,100.0","80,000.0","30,000.0","U.S. cobalt output is minimal (mainly a byproduct of copper mining), covering only ~2% of demand. Over 95% is imported or refined overseas. The supply chain depends on the D.R. Congo for mining and China for refining, making U.S. supply vulnerable to foreign disruptions.  ",Geophysical surveys (magnetic/EM); geochemical sampling; radiometric surveys; machine learning integration; 3D drilling/imaging,Sulfide flotation; pressure acid leaching (HPAL); ammoniacal leaching; bio-oxidation (R&D); roasting/calcination,Solvent extraction (SX); ion exchange; precipitation/crystallization; electrowinning,Chemical purification to battery-grade; electrowinning to metal; battery-salt synthesis; electrochemical recycling,Neutralization/precipitation; phytoremediation; adsorption/filtration; tailings containment,Refining capacity; economic viability; permitting delays,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-cobalt.pdf
Neodymium,135%,383,"5,800.0","10,000.0","13,500.0","Neodymium (for magnets) is produced at Mountain Pass in a concentrate, but must be refined abroad (China). Lack of U.S. separation and magnet alloy manufacturing is the bottleneck. Thus, U.S. magnet supply chains depend on foreign Nd-Pr metal production.",Radiometric surveys; geochemical sampling; geophysical mapping; remote sensing; biogeochemical indicators,Open-pit mining; physical beneficiation; hydrometallurgical leaching; precipitation; ion-exchange for clays,Solvent extraction; ion-exchange chromatography; selective oxidation; fractional crystallization,Metallothermic reduction; molten salt electrolysis; vacuum refining; alloying; magnet fabrication,Neutralization/precipitation; constructed wetlands; tailings reprocessing; adsorption; radioactive waste management,Hydrometallurgical separation (solvent extraction) and rare-earth metallurgy capacity,
Zinc,55%,346,"2,300,000.0","4,150,000.0","2,300,000.0","The U.S. mines a lot of zinc (e.g., Red Dog in Alaska) but has almost no smelting—its last primary zinc smelter closed in 2013. Concentrates are exported and metal is imported. Thus, domestic zinc metal supply is bottlenecked by the lack of refining capacity, making the U.S. ~80% import reliant for refined zinc.  ",Geochemical mapping; IP surveys for sulfides; EM for massive sulfides; gravity/magnetics; diamond drilling,Open-pit for near-surface deposits; underground stoping methods; automated mining systems,Froth flotation for sulfides; gravity separation; oxide ore treatment; modern reagent systems,Roast-leach-electrowin (RLE); pressure leaching; solvent extraction; electrowinning to 99.995% purity,Lime neutralization; high-density sludge; passive wetlands; permeable barriers; metal recovery,Lack of domestic zinc smelting/refining capacity; limited exploration investment; declining ore grades,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-zinc.pdf
Yttrium,67%,295,500.0,"3,000.0","2,000.0","The U.S. has no yttrium production (100% import reliant, mainly from China). Yttrium is obtained from ion-adsorption clays and other rare earth deposits in China. Without domestic production, the bottleneck is absolute import dependence on Chinese sources.  ",Airborne geophysics; geochemical sampling; hyperspectral imaging; machine learning prospectivity mapping,Open-pit mining; crushing/grinding; gravity separation; magnetic separation; flotation,Solvent extraction cascades; ion exchange chromatography; selective precipitation; membrane separation,Zone refining; vacuum melting; chemical vapor transport; powder metallurgy,Radioactive waste management; water treatment; acid neutralization; progressive rehabilitation,Solvent extraction and hydrometallurgical separation capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-yttrium.pdf
Vanadium,10%,217,500.0,"20,000.0","2,000.0","No primary vanadium mines operate in the U.S. Vanadium is recovered from byproducts like oil refining residues or imported slag. This limited secondary production (~3 kt projected) falls short of demand, keeping the U.S. import-reliant. Dependence on foreign sources (e.g., Russia, South Africa) for vanadium-bearing materials is the bottleneck.  ",Radiometric surveys; aeromagnetic surveys; geochemical sampling; geological mapping; drilling programs,Alkaline roast-leach; smelting/slag processing; acid leaching; direct reduction; byproduct recovery,Solvent extraction; ion exchange; pH precipitation; crystallization; membrane separation,Calcination to V₂O₅; vacuum refining; ferrovanadium production; chemical conversion; ultra-purification,Chemical precipitation; adsorption systems; phytoremediation; oxidation processes; waste recycling,Processing infrastructure; ore beneficiation; purification capacity; environmental compliance,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-vanadium.pdf
Lanthanum,80%,186,"5,000.0","15,000.0","12,000.0","The U.S. mines lanthanum-rich rare earth ore (Mountain Pass) but has limited domestic refining. Separated La is mostly processed in China. Although La itself is abundant, the need to ship concentrate abroad for refining is a bottleneck in fully independent supply.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; magnetic/gravity surveys,Open-pit mining; crushing/grinding; froth flotation; gravity separation; magnetic separation,Solvent extraction; ion exchange; selective precipitation; fractional crystallization,Metallothermic reduction; molten salt electrolysis; vacuum distillation; zone refining,Radioactive waste management; water treatment/recycling; tailings stabilization; dust control,Solvent extraction separation; hydrometallurgical processing; waste management infrastructure,
Praseodymium,120%,165,"2,000.0","2,500.0","3,000.0","Praseodymium is mined with neodymium at Mountain Pass, but the mixed Nd-Pr product must be separated and converted to metal/magnets overseas. The absence of domestic praseodymium refining and magnet manufacturing is the bottleneck for this critical magnet metal.  ",Radiometric surveys; hyperspectral imaging; geochemical sampling; magnetic/gravity surveys,Flotation concentration; acid/alkaline leaching; roasting; heap/in-situ leaching,Multi-stage solvent extraction; ion exchange chromatography; selective precipitation,Oxide calcination; metallothermic reduction; powder metallurgy; zone refining,Magnet recycling; tailings neutralization; phytoremediation; closed-loop processing,Solvent extraction and ion exchange separation capacity,
Chromium,72%,136,"600,000.0","2,150,000.0","1,550,000.0","The U.S. has zero chromium ore mining, relying completely on imports for chromite/ferrochrome. This total import dependence (mainly on South Africa, Kazakhstan, etc.) is a major supply bottleneck, posing strategic vulnerability.  ",Ultramafic mapping; airborne gravity/magnetics; hyperspectral imaging; geochemical AI screening,Underground drift-and-fill; automated drilling; conveyor hoisting; HPGR crushing,Dense-medium separation; spirals; shaking tables; magnetic separation,Submerged-arc ferrochrome smelting; aluminothermic reduction; molten salt electrolysis,Tailings stabilization; Cr(VI) reduction; phytoremediation; water treatment,Ferrochrome smelting capacity; direct reduction of chromite; low-carbon processing,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-chromium.pdf
Graphite,39%,132,"50,000.0","700,000.0","275,000.0","The U.S. has 0 natural graphite mining and is 100% import reliant. With China controlling the majority of graphite production and purification, U.S. battery-grade graphite supply is a major bottleneck. Developing domestic mines or synthetic graphite capacity is needed.  ",airborne electromagnetics; magnetic surveys; resistivity/IP; geochemical sampling,open-pit mining; selective blasting; ore sorting; electric equipment,froth flotation; gravity separation; magnetic separation; screening/classification,thermal purification; chemical leaching; spheroidization; carbon coating,water treatment; tailings management; dust control; progressive rehabilitation,purification infrastructure; spherical graphite coating; high-temperature graphitization furnaces,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-graphite.pdf
Antimony,20%,129,0.0,"50,000.0","9,750.0","The U.S. has had zero primary antimony mine production for decades, making it ~85% import reliant. Supply depends on foreign sources (mainly China), and processing capacity is limited, causing a critical bottleneck.  ",Geochemical mapping; IP/resistivity surveys; hyperspectral imaging; stream sediment analysis,Underground mining; flotation concentration; gravity separation; roasting,Oxidative roasting; carbothermic reduction; electrolytic refining; vacuum distillation,Pressure leaching; zone refining; vacuum distillation; electrolytic purification,Lime neutralization; constructed wetlands; iron-based adsorbents; phytostabilization,Refining/smelting infrastructure; roasting furnaces; reduction technology; vacuum distillation,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-antimony.pdf
Erbium,50%,108,50.0,300.0,150.0,"Like other heavy rare earths, erbium has no U.S. source. All Er supply comes from Chinese mines, making the U.S. 100% import dependent. The bottleneck is the lack of any non-Chinese production or separation capacity for Er.  ",airborne radiometrics; ICP-MS geochemistry; hyperspectral imaging; AI-driven targeting,conventional open-pit; flotation beneficiation; acid/alkaline cracking; solvent extraction,multi-stage solvent extraction; ion exchange chromatography; selective precipitation,oxalate precipitation; high-temperature calcination; metallothermic reduction; zone refining,dry-stack tailings; acid neutralization; zero liquid discharge; radiometric monitoring,China HREE monopoly,
Indium,15%,92,100.0,"1,350.0",200.0,"The U.S. has no primary indium production (100% import reliant). Indium is recovered from zinc ores, but the U.S. lacks active zinc smelters to extract it. This means all indium for LCDs and semiconductors must be imported, a significant bottleneck.  ",Multi-element geochemistry; zinc-tin deposit targeting; IP/EM geophysics; LA-ICP-MS analysis,Roast-leach-electrowin from zinc; chloride volatilization; pressure oxidation; bioleaching,Solvent extraction with D2EHPA; ion exchange; selective precipitation; cementation,Vacuum distillation; electrolytic refining; zone melting; chemical vapor transport,Jarosite reprocessing; ITO glass recycling; e-waste recovery; effluent treatment,Byproduct recovery from zinc residues; ITO recycling infrastructure; specialized refining capacity,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-indium.pdf
Nickel,26%,84,"350,000.0","1,350,000.0","350,000.0","U.S. nickel production is a fraction of demand (~17 kt vs 100 kt). Over 80% is imported. Moreover, global nickel supply is increasingly concentrated in Indonesia (under Chinese influence). The U.S. lacks sulfide reserves and processing for battery-grade nickel, creating a critical supply bottleneck.  ",airborne electromagnetics; geochemical sampling; magnetic surveys; seismic imaging,sulfide flotation; RKEF smelting; HPAL; heap leaching,solvent extraction; ion exchange; selective precipitation; crystallization,electrowinning; carbonyl refining; hydrogen reduction; sulfate crystallization,acid neutralization; metal precipitation; tailings management; phytoremediation,HPAL processing; battery-grade refining; sulfide ore beneficiation,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-nickel.pdf
Fluorspar,10%,82,0.0,"500,000.0","50,000.0","The U.S. is 100% reliant on imported fluorspar. Despite significant demand for acid-grade fluorspar (e.g. for fluorochemicals), there are no active U.S. fluorspar mines. This complete import dependence (mainly from Mexico) is the critical bottleneck.  ",hyperspectral remote sensing; portable XRF geochemistry; induced polarization; machine learning targeting,open-pit for shallow deposits; underground room-and-pillar; selective mining; ore sorting,crushing to -50mm; grinding to 65-100 mesh; froth flotation; gravity pre-concentration,HF production via H₂SO₄ reaction; multi-stage distillation; synthetic cryolite production; ultra-purification,lime precipitation for fluoride removal; activated alumina adsorption; membrane filtration; tailings encapsulation,HF production plants; acid-grade beneficiation; environmental permitting,https://pubs.usgs.gov/periodicals/mcs2025/mcs2025-fluorspar.pdf
